resp,word
,
,
,
dönüştürmek ,convert
,
,
dönme ,convert
dönmeye ikna edilmiş kişi ,convert
din değiştiren kimse ,convert
inancı değişen kimse ,convert
tahvil etmek ,convert
döndürmek ,convert
dönüşmek ,convert
çevirmek (döviz kuru vb) ,convert
değişmek ,convert
dininden döndürmek ,convert
inancını değiştirmek ,convert
arıtmak ,convert
evirmek ,convert
çevirmek ,convert
değiştirmek ,convert
dönüştürmek ,convert
,
,
çevirmek ,convert
değiştirmek ,convert
tebdil etmek ,convert
,
tahvil etmek ,convert
,
,
değiştirmek ,convert
,
,
dönüştürmek (yazılım formatı vb) ,convert
dönüştür ,convert
,
,
sınıf değiştirmek ,convert
,
,
mühtedi ,convert
,
,
,
getirmek (bir durumdan başka duruma) ,convert into
çevirmek ,convert from
çevirmek ,convert to
dönüşmek ,convert into
çevirmek ,convert into
getirmek (bir durumdan başka duruma) ,convert from
dönüştürmek ,convert to
getirmek (bir durumdan başka duruma) ,convert to
nakite çevirmek ,convert into cash
nakde çevirmek ,convert into cash
müzeye dönüştürmek ,convert into a museum
kiliseye dönüştürmek ,convert into a church
camiye dönüştürmek ,convert into mosque
hapis cezasını para cezasına çevirmek ,convert imprisonment into a fine
,
para tümletmek ,convert loose change to bills
bozuklukları tümletmek ,convert loose change to bills
,
,
bir şeyden diğerine dönüşmek ,convert into
birini/bir şeyi (bir şeyden bir şeye) dönüştürmek ,convert someone or something (from something) (into something)
birini/bir şeyi (bir şeyden bir şeye) evirmek ,convert someone or something (from something) (into something)
birini/bir şeyi (bir şeyden bir şeye) çevirmek ,convert someone or something (from something) (into something)
(bir dine) dönmek ,convert into (something)
(bir dinden ayrılıp başka bir dine) dönmek ,convert into (something)
(bir dine) döndürmek ,convert into (something)
(bir şeye) dönüşmek ,convert into (something)
"(başka bir hale, faza) geçmek ",convert into (something)
(bir şeye) dönüştürmek ,convert into (something)
(bir şeye) çevirmek ,convert into (something)
değişip (bir şey) haline gelmek ,convert into (something)
(bir şey) haline dönüşmek ,convert into (something)
değiştirip (bir şey) haline getirmek ,convert into (something)
(bir şey) haline dönüştürmek ,convert into (something)
(bir dine) dönmek ,convert into (something)
(bir dinden ayrılıp başka bir dine) dönmek ,convert into (something)
(bir dine) döndürmek ,convert to (something)
(bir şeye) dönüşmek ,convert to (something)
"(başka bir hale, faza) geçmek ",convert to (something)
(bir şeye) dönüştürmek ,convert to (something)
(bir şeye) çevirmek ,convert to (something)
değişip (bir şey) haline gelmek ,convert to (something)
(bir şey) haline dönüşmek ,convert to (something)
değiştirip (bir şey) haline getirmek ,convert to (something)
(bir şey) haline dönüştürmek ,convert to (something)
(bir dinden) dönmek ,convert from (something)
(bir dinden) ayrılmak ,convert from (something)
(bir dini) terk etmek ,convert from (something)
(bir şeyden) dönüşmek ,convert from (something)
(bir şeyden) evrilmek ,convert from (something)
(bir dinden başka bir dine) dönmek ,convert from (something) into (something)
(bir dinden ayrılıp başka bir dine) geçmek ,convert from (something) into (something)
(bir dinden başka bir dine) döndürmek ,convert from (something) into (something)
(bir dinden ayrılmasını sağlayıp başka bir dine) geçirmek ,convert from (something) into (something)
(bir şeyden bi şeye) dönüşmek ,convert from (something) into (something)
"(bir halden, fazdan başka bir hale, faza) geçmek ",convert from (something) into (something)
(bir şeyden bir şeye) dönüştürmek ,convert from (something) into (something)
,
(bir şeyden bir şeye) çevirmek ,convert from (something) into (something)
(bir şeyden) dönüşüp (bir şey) haline gelmek ,convert from (something) into (something)
(bir şeyden) değişip (bir şey) olmak ,convert from (something) into (something)
(bir şeyden başka bir şey) haline dönüşmek ,convert from (something) into (something)
(bir dinden başka bir dine) dönmek ,convert from (something) to (something)
(bir dinden ayrılıp başka bir dine) geçmek ,convert from (something) to (something)
(bir dinden başka bir dine) döndürmek ,convert from (something) to (something)
(bir dinden ayrılmasını sağlayıp başka bir dine) geçirmek ,convert from (something) to (something)
(bir şeyden bi şeye) dönüşmek ,convert from (something) to (something)
"(bir halden, fazdan başka bir hale, faza) geçmek ",convert from (something) to (something)
(bir şeyden bir şeye) dönüştürmek ,convert from (something) to (something)
(bir şeyden bir şeye) çevirmek ,convert from (something) to (something)
(bir şeyden) dönüşüp (bir şey) haline gelmek ,convert from (something) to (something)
(bir şeyden) değişip (bir şey) olmak ,convert from (something) to (something)
(bir şeyden başka bir şey) haline dönüşmek ,convert from (something) to (something)
,
,
paraya dönüştürmek ,convert into actual money
paraya çevirmek ,convert into money
paraya çevirmek ,convert into actual money
,
,
hapis cezasım para cezasına çevirmek ,convert the prison sentence to a fine
,
,
dönüştürme ayrıntısı ,convert details
dönüştürülecek dosyalar ,files to convert
dönüştürme hedefi ,convert to
dönüştürülecek dosya türü ,convert file from
metni sütunlara çevir sihirbazı ,convert text to columns wizard
access'e dönüştür ,convert to access
dönüştürülecek dosyaları veya url adresini seçiniz ,select files or url to convert
dönüştürülecek dosyaları seçin ,select files to convert
dönüştürülecek ,convert to
çizimi dönüştür ,convert drawing
dosyayı dan …'ye dönüştür ,convert file from to
dosyalara dönüştür ,convert to files
dönüştür ,convert to
dönüştürülemiyor ,cannot convert
dönüştürüleceği ,convert to
dönüştürme ,no convert
dipnota dönüştür ,convert to footnote
diyagramı dönüştür ,convert diagram
dosya dönüştür ,convert file
çerçeveye dönüştür ,convert to frame
gıf'e dönüştür ,convert to gif
kalıcı olarak dönüştür ,convert permanently
notları dönüştür ,convert notes
nesne dönüştür ,convert object
nesneyi dönüştür ,convert object
makro dönüştür ,convert macros
metni tabloya dönüştür ,convert text to table
ole dönüştür ,convert ole
microsoft access'e dönüştür ,convert to microsoft access
metin dönüştür ,convert text
şimdi dönüştür ,convert now
sonnota dönüştür ,convert to endnote
tabloyu ya dönüştür ,convert table to
tüm sonnotları dipnotlara dönüştür ,convert all endnotes to footnotes
tabloya dönüştür ,convert table to
tüm dipnotları sonnotlara dönüştür ,convert all footnotes to endnotes
tabloyu metne dönüştür ,convert table to text
web'e dönüştür ,convert to web
veritabanı dönüştür ,convert database
-den -e dönüştür ,convert file from ... to ...
,
,
hapis cezasına çevirmek ,convert to imprisonment
